   1    1       13.095762273      13.405442667      13.295137441
   1    2       10.995018282      11.312596631      11.187849200
   1    3        8.558161218       8.887487409       8.749036698
   1    4        5.927965278       6.253320123       6.103190997
   1    5        3.093647926       3.379511007       3.239670677
   1    6        0.906877475       1.105355898       1.005493591
   1    7       15.968230547      17.873501799      16.916256266
   1    8       40.505567381      42.756402061      41.763107925
   1    9        9.144455772      10.512453443       9.856442586
   1   10       33.664629504      35.470532772      34.703294245
   1   11        5.182359252       6.211832891       5.769440786
   1   12       26.342332666      27.730464308      27.173577405
   1   13        1.448776927       2.322388233       2.132289555
   1   14       12.778514884      13.540944304      13.288209138
   1   15        5.526818158       6.530816676       6.025112780
   1   16       14.192980975      15.604508638      14.936887508
   1   17        3.125957846       3.801107777       3.469462376
   1   18       11.770409884      12.886997943      12.381237104
   1   19        1.717424741       2.165879928       1.955064605
   1   20        9.217875672      10.065876017       9.678604035
   1   21        0.403585376       0.683324359       0.597014016
   1   22        4.254898529       4.692624098       4.501077771
   1   23        0.006344273       0.015880925       0.010091605
   1   24        0.018395981       0.031493928       0.024310309
   1   25        0.003689810       0.010319599       0.006391044
   1   26        0.015564371       0.026349512       0.020609748
   1   27        0.002004109       0.005558438       0.003475648
   1   28        0.012903300       0.021946629       0.017181369
   1   29        0.000059892       0.000290682       0.000115424
   1   30        0.005361737       0.009539493       0.007346793
       -0.3413025358       -0.3363913625
